管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os280,OS,,埼玉,(採)群馬, 12136-01,DOWAハイテック（3交替）,派遣,1名,原材料の投入等のマシンオペレーター業務 、金属ケミカル品の製造,埼玉県本庄市仁手1781,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,600円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:30～17:10　休憩60分 ②16:30～01:10　休憩60分 ③00:30～09:10　休憩60分,シフト制,"1,600円/時",28万円程度,勤務/20日 残業/5h 深夜/46h 休出/7.67h,336万円程度,3交替,本庄駅,車 バイク 自転車 徒歩,上限3万円迄/月,無料,個室寮,44歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・事前工場見学に参加必須（内定になればその後赴任） ・クリーンルーム作業（粉塵作業あり）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,毎月13日,随時,翌月1日入社,随時,毎月13日⇒翌月1日入社,埼玉県 本庄市
os281,OS,,埼玉,(採)群馬, 12136-02,DOWAハイテック（日勤）,派遣,1名,金属粉末を計量して袋詰めして頂きます,埼玉県本庄市仁手1781,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,500円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:30～17:10　休憩60分,土日,"1,500円/時",27万円程度,勤務/20日 残業/5h 深夜/0h 休出/7.67h,324万円程度,日勤,本庄駅,車 バイク 自転車 徒歩,上限3万円迄/月,無料,個室寮,49歳迄(未経験44歳迄、経験者50歳以上は面接後判断）,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・事前工場見学に参加必須（内定になればその後赴任） ・クリーンルーム作業（粉塵作業あり）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,埼玉県 本庄市
os282,OS,,埼玉,(採)群馬,12301-01,エナジーシステムサービスジャパン,派遣,2名,ゴルフカート製造,埼玉県深谷市岡2200,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,600円/時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～16：30　休憩45分,土日,"1,600円/時",25万円程度,勤務/20日 残業/2h 深夜/0h 休出/0h,300万円程度,日勤,本庄駅,車 バイク 自転車 徒歩,上限3万円迄/月,実費,個室寮,40歳迄(経験者45歳まで）,男性のみ,不可,応相談,不可,不可,4L迄,・事前工場見学に参加必須（ ・空調完備,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,埼玉県 深谷市
os283,OS,,埼玉,(採)群馬,12543-01,信越ポリマー　埼玉,派遣,5名,シリコーンゴム製品、成形、組立、検査、梱包及び付随業務,埼玉県児玉郡神川町大字元原宇豊原300-5,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,500円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:45～17:05　休憩 60分 ②16:45～01:05　休憩 60分 ③00:45～09:05　休憩 60分 ④08:45～17:20　休憩 60分,3班3交替（土日休） 2025年位から4班3交替予定（4勤2休） ※研修中は日勤（2ヶ月程度）,"1,500円/時",23万円程度,勤務/21日 残業/0h 深夜/17.8h 休出/0h,276万円程度,3班3交替（土日休） 2025年位から4班3交替（4勤2休） ※研修中は日勤（1ヶ月程度）,本庄駅,車 バイク 自転車,上限3万円迄/月,無料,個室寮,50歳迄,男性のみ,不可,不可,不可,不可,5L迄,・一部工程、原料20kg程の取扱いあり ■備考：作業着5L迄・ウエスト100㎝・靴28㎝位まで ■NG：老眼・色弱・腰痛・アトピー・外国籍・160㎝以下 ■通勤時、サンダル・作業着通勤は不可,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,,随時,,11月5日,10/27〆⇒10/29工見→11/5入社,埼玉県 児玉郡神川町
os284,OS,,新潟,(採)さいたま,10582-01,日本精機,派遣,10名,メータ組立及び部品供給業務,新潟県長岡市東高見2丁目2-8,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,450円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（喫煙室あり）",①08:10～17:05　休憩60分 ②17:05～02:00　休憩60分 ③07:20～15:40　休憩50分 ④15:20～23:40　休憩50分 ⑤23:30～07:30　休憩50分,土日,"1,450円/時",26万円程度,勤務/20日 残業/10h 深夜/42.5h 休出/7.5h ,312万円程度,3交替,押上駅,車 徒歩 自転車,上限3万円迄/月,無料,個室寮,49歳以上は経験あれば55歳迄（製造未経験49歳迄）,男女可,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,可 ※同シフト不可,不可,3L迄,・身長150㎝以下紹介不可 ・長く続けられる方 ・コミュニケーションが取れる方 ・クリーンルーム内での作業 ・重量物の扱い基本的にはなし ・電ドラ使用経験者（未経験でも大歓迎です）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,2～3日程度,随時問い合わせ,新潟県 長岡市
os285,OS,,新潟,(採)さいたま,718799,新潟太陽誘電,派遣,0名,電子部品の製造、検査における、電子部品の機械オペレーター,新潟県上越市頸城区上吉197-8,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間( 1,430円／時) 【就業場所における受動喫煙対策】 ・全面禁煙",①07:00～16:30　休憩65分 ②19:00～04:30　休憩65分 ③08:30～17:15　休憩50分,4勤2休,"1,430円/時",32万円程度,勤務/20日 残業/30h 深夜/50h 休出/8.5h ,380万円程度,2交替,黒井駅,車,上限3万円迄/月,無料,個室寮,55歳迄,男女可,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,応相談 ※同シフト不可,不可,4L迄（5L迄は応相談）,"入社祝い金支給：毎月10,000円 ※入社後5ヶ月間支給(6ヵ月以降は延長なし)  ・車の持ち込み必須 ・クリーンルーム内での作業になります。 ・有機溶剤の匂いがします。 ・腰痛は不可になります（重量物の扱い最大で30kgあります。）。 ・PC入力（簡単なデータ入力程度）が必要になります。 ・車持ち込みの場合、スタッドレスタイヤ必須になります。",15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,,随時,,随時,随時問い合わせ,新潟県 上越市
os286,OS,,新潟,(採)さいたま,594282,イーグルブルグマンジャパン,派遣,0名,メカニックシールの生産に伴う、マシンOP・検査,新潟県五泉市中川新514,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外に喫煙場所あり）",2交替 ①06:00～14:30　休憩45分 ②14:20～22:50　休憩45分 ,土日,"1,300円/時",24万円程度,勤務/20日 残業/10h 深夜/50h 休出/7.58h ,280万円程度,2交替,猿和田駅,車 バイク 送迎,上限3万円迄/月,無料,個室寮,20歳～45歳迄,男性のみ,不可,不可,不可,不可,3L迄,・基本的には（火）/（水）工場見学 ? 翌週（月）入社になります。 ※状況次第ではすぐのご案内ができない可能性がございます。 ※工場から近場の寮に空きがなく、通勤時間が30分程かかることを面接時にお伝え頂きたく存じます。 ※車持ち込みの場合は寮敷地内の駐車場：月額3500円～4500円掛かります。 ※工場内食堂、休憩所、喫煙所完備（食堂終日18時40分まで利用可能）  ・2交替か日勤選べます。（今回は2交代のみ募集） ・2交替シフト月収26万程度(勤務20日/残業30h/深夜8h/休出7.75ｈ),20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 五泉市
os287,OS,,新潟,(採)さいたま,594371,イーグルブルグマンジャパン　日勤,派遣,0名,①攪拌機の組立作業 　（玉掛け・天井クレーンがあれば尚良い。※無くても問題なし） ②精密機器の部品倉庫にて部品の払い出し業務,新潟県五泉市中川新514,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外に喫煙場所あり）",①8:00～16:50　休憩50分,土日,"1,300円/時",24万円程度,勤務/20日 残業/10h 深夜/0h 休出/8h ,280万円程度,日勤,猿和田駅,車 バイク 送迎,上限3万円迄/月,無料,個室寮,20歳～45歳迄,男性のみ,不可,不可,不可,不可,3L迄,・基本的には（火）/（水）工場見学 ? 翌週（月）入社になります。 ※状況次第ではすぐのご案内ができない可能性がございます。 ※工場から近場の寮に空きがなく、通勤時間が30分程かかることを面接時にお伝え頂きたく存じます。 ※車持ち込みの場合は寮敷地内の駐車場：月額3500円～4500円掛かります。 ※工場内食堂、休憩所、喫煙所完備（食堂終日18時40分まで利用可能）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 五泉市
os288,OS,,新潟,(採)さいたま,11057-01,直江津精密加工,派遣,5名,合成ガラスの加工業務 工場内で合成ガラスを機械にセット、10ｍｍ程度にスライスしたのち表面を削り磨く作業,新潟県上越市?潟区渋柿浜935-1,"【必要資格】 ・特になし 【契約期間】 ・6ヶ?更新 【試用期間】 ・2週間( 1,500円／時) 【就業場所における受動喫煙対策】 ・全?禁煙",①08:00～16:10　休憩70分 ?16:00～00:10　休憩70分 ③00:00～08:10　休憩70分,シフト制,"1,500円/時",28万円程度,勤務/22日 残業/20h 深夜/30h 休出/0h ,330万円程度,3交替,犀潟駅,車 徒歩 自転車,"上限11,247円/月",無料,個室寮,製造未経験40歳迄(経験者は49歳迄),男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・洗浄作業で研磨剤を使うため、アトピー程度により応相談 ・徒歩圏内の空きがなくなり次第、車持ちの方のみ,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 上越市
os289,OS,,新潟,(採)さいたま,10951-01,直江津産業,派遣,0名,化学製品の充填・出荷作業、液体製品の充填及び機械を使用した運搬作業,新潟県上越市頸城区西福島28-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙対策】 ・全?禁煙",①08:00～16:00　休憩60分 ②16:00～00:00　休憩60分 ③00:00～08:00　休憩60分,シフト制,"1,400円/時",27万円程度,勤務/20.25日 残業/20h 深夜/56.67h 休出/0h ,324万円程度,3交替,黒井駅,車 徒歩 自転車,上限3万円迄/月,無料,個室寮,53歳迄 ※50歳以上は製造経験者,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・体力面問題ない方 ・腰痛がない方 ・近場の寮の空きがないため車ない方要相談,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 上越市
os290,OS,,新潟,(採)さいたま,966799,直江津電子工業,派遣,0名,ｼﾘｺﾝｳｴﾊｰ製造に伴う加工・機械OP及び不随する業務,新潟県上越市頸城区城野腰 596番地2,"【必要資格】 ・特になし 【契約期間】 ・6ヶ?更新 【試用期間】 ・2週間( 1,500円／時) 【就業場所における受動喫煙対策】 ・全面禁煙",①08:00～16:10　休憩70分 ②16:00～00:10　休憩70分 ③00:00～08:10　休憩70分,4勤2休,"1,500円/時",28万円程度,勤務/20日 残業/20h 深夜/60H 休出/7h,330万円程度,3交替,JR信越本線/ほくほく線 犀潟駅,車 徒歩 自転車,上限3万円迄/月,無料,個室寮,未経験30代迄 ※女性経験次第30代迄,男性のみ,不可,不可,不可,不可,4L迄,・赴任後、PCR検査を受けてもらい問題なければ工場見学参加となります。 ※新潟県内者は入社まで約1週間 ※新潟県外者は入社まで約2~3週間 ・近場の寮の空きがないため車ない方要相談  ・女性は検査業務の経験ある方,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 上越市
os291,OS,,新潟,(採)さいたま,11027-01,信越シリカ,派遣,0名,半導体レジスト業務 合成ガラスの原料を投入し基板の作成。カット、研磨を行う,新潟県上越市頸城区福島28-1,"【必要資格】 ・特になし 【契約期間】 ・6ヶ?更新 【試用期間】 ・1ヶ月( 1,500円／時) 【就業場所における受動喫煙対策】 ・全面禁煙",①08:00～16:10　休憩70分 ②16:00～00:10　休憩70分 ③00:00～08:10　休憩70分,シフト制,"1,500円/時",27万円程度,勤務/22.8日 残業/5h 深夜/40h 休出/7h,324万円程度,3交替,黒井駅,車 徒歩 自転車,上限3万円迄/月,無料,個室寮,30代迄,男性のみ,不可,不可,不可,不可,4L迄,・高卒以上 ・有機溶剤問題ない方 ・コミュニケーションきちんと取れる方 ・3勤1休または3勤2休のシフト ・製造未経験、経験者ともに30代迄,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 上越市
os292,OS,,新潟,(採)さいたま,11226-03,YKK　AP　新潟,派遣,0名,アルミサッシ組立・・ガラスに縁、金具を付け梱包する作業です。 ①機械操作にて切断工程②部品仕分け、取り付け③ラッピング梱包、運搬　※25㎏くらいの重量の物もある。 上記のどこかの工程に入り、いずれはどこも出来るようにする。 ガラスの成形・・・今主流の2枚のガラスを合わせて2重ガラスにする作業です。 ①機械にてカット作業②合わせてシーリングを行う③バリ取りを行う④出荷口に出す 上記のどこかの工程に入ってからいずれはどこでも出来るようにする。 ※重いものは二人作業で運ぶ 重い物を持つと言うイメージではなく、常に10～15㎏前後の商品を扱っている感覚でいてください。,新潟県柏崎市??町坂?４１８８,"【必要資格】 ・車持ち込み必須 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間( 1,600円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外に喫煙場所あり）",①00:20～08:00　休憩60分 ②08:20～17:00　休憩60分 ③16:20～01:00　休憩60分,4勤1休/4組3交代 （4勤1休→4勤1休→4勤2休)  ※生産状況により5勤2休(土日休み)の変動あり,"1,600円/時",33万円程度,勤務/20日 残業/20h 深夜/45h 休出/7.67h,396万円程度,3交替,西山駅,車,上限3万円迄/月,無料,個室寮,未経験45歳迄（製造経験あれば54歳迄）,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・車持込必須 ・体力面問題ない方 ・コミュニケーションきちんと取れる方 ・重量物取り扱いあり（約20kg）,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 柏崎市
os293,OS,,新潟,(採)さいたま,12211-01,ローリー 製菓製パン,派遣,0名,サンドイッチの製造,新潟県長岡市大島本町3丁目1-57,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",08:00～17:00　休憩 60分,シフト制,"1,100円/時",19万円程度,勤務/20日 残業/10h 深夜/0h 休出/1h,228万円程度,日勤,北陸自動車道 長岡ICから17分,車,上限3万円迄/月,-,寮対応無,50歳迄,男女可,不可,不可,不可,不可,4L迄,サンドイッチをつくる工場でのお仕事です。 パンの耳を切って、機械に入れる作業をしていただきます。 また、サンドイッチの具材を容器にいれる作業をお願いいたします。 カンタンなお仕事になりますので、未経験の方も大歓迎です！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 長岡市
os294,OS,,新潟,(採)さいたま,12000-01,ローリー　プロセスセンター　精肉業務,派遣,0名,精肉の盛付・振分作業,新潟県長岡市中之島1993-1,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",21:00～06:00　休憩 60分,土日,"1,100円/時",22万円程度,勤務/20日 残業/10h 深夜/120h 休出/1h,264万円程度,夜勤,北陸自動車道 中之島見附ICから5分,車,上限3万円迄/月,-,寮対応無,20歳～55歳迄,男女可,不可,不可,不可,不可,4L迄,お肉の盛り付けや振り分けをしていただく作業になります。 未経験者でもできるカンタンな作業となります。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 長岡市
os295,OS,,新潟,(採)さいたま,12000-02,ローリー　プロセスセンター　水産業務,派遣,0名,水産の盛付・振分作業,新潟県長岡市中之島1993-1,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",00:00～09:00　休憩 60分,土日,"1,100円/時",21万円程度,勤務/20日 残業/10h 深夜/80h 休出/1h,252万円程度,夜勤,北陸自動車道 中之島見附ICから5分,車,上限3万円迄/月,-,寮対応無,20歳～55歳迄,男女可,不可,不可,不可,不可,4L迄,梱包された商品を各店舗へ振り分ける作業と 包丁を使ってお魚を切っていただく作業をお願いします。 皆さん未経験者からはじめて、段々とできるようになりますので、ご安心ください！！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 長岡市
os296,OS,,新潟,(採)さいたま,12208-01,グリーンパル　原料投入（夜勤）,派遣,3名,プラスチック製品の製造,新潟県三条市今井878,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",12:50～22:00　休憩 70分,土日,"1,100円/時",17万円程度,勤務/20日 残業/0h 深夜/0h 休出/0h,204万円程度,夜勤,済生会三条病院停留所から徒歩で25分,車,上限3万円迄/月,-,寮対応無,45歳迄,男女可,不可,不可,不可,不可,4L迄,皆さんもよく目にする生活用品や冬用プラスチック製品を作る工場でのお仕事です。  プラスチックの原料を機械に投入していただく作業になります。 原料が入っている25㎏の袋のヒモを解く、もしくはカッターで切り込みを入れて頂き、機械に投入する作業です。  重量物を取り扱いますが、慣れれば苦はなく、 基本的にはカンタンな作業なので、どなたでも２週間程度で覚えることができます！！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 三条市
os297,OS,,新潟,(採)さいたま,12208-02,グリーンパル　原料投入（日勤）,派遣,6名,プラスチック製品の製造,新潟県三条市今井878,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",08:20～17:30　休憩 70分,土日,"1,100円/時",17万円程度,勤務/20日 残業/0h 深夜/0h 休出/0h,204万円程度,日勤,済生会三条病院停留所から徒歩で25分,車,上限3万円迄/月,-,寮対応無,45歳迄,女性,不可,不可,不可,不可,4L迄,皆さんもよく目にする生活用品や冬用プラスチック製品を作る工場でのお仕事です。  プラスチックの原料を機械に投入していただく作業になります。 原料が入っている25㎏の袋のヒモを解く、もしくはカッターで切り込みを入れて頂き、機械に投入する作業です。  重量物を取り扱いますが、慣れれば苦はなく、 基本的にはカンタンな作業なので、どなたでも２週間程度で覚えることができます！！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 三条市
os298,OS,,新潟,(採)さいたま,12208-03,グリーンパル　組立（夜勤）,派遣,2名,プラスチック製品の製造,新潟県三条市今井878,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",22:00～08:20　休憩 80分,土日,"1,100円/時",22万円程度,勤務/20日 残業/0h 深夜/115h 休出/0h,264万円程度,夜勤,済生会三条病院停留所から徒歩で25分,車,上限3万円迄/月,-,寮対応無,45歳迄,男女可,不可,不可,不可,不可,4L迄,皆さんもよく目にする生活用品や冬用プラスチック製品を作る工場でのお仕事です。  ●組立作業・・・バラバラになった製品（ボックス等）を段ボールに梱包するために１つに組立てて頂く作業になります。とっても簡カンタンな作業で1週間でできるようになります。 ●バリ取り作業・・・カッターを使用して角のバリを取って頂きます。こちらもカンタンな作業で1週間でできるようになります。（カッターの使用教育有り） どれもカンタンな作業なので、どなたでも２週間程度で覚えることができます！！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 三条市
os299,OS,,新潟,(採)さいたま,12208-04,グリーンパル　組立（日勤）,派遣,0名,プラスチック製品の製造,新潟県三条市今井878,"【必要資格】 ・特になし 【契約期間】 ・2ヶ?更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外喫煙可）",08:20～17:30　休憩 70分,土日,"1,100円/時",17万円程度,勤務/20日 残業/0h 深夜/0h 休出/0h,204万円程度,日勤,済生会三条病院停留所から徒歩で25分,車,上限3万円迄/月,-,寮対応無,45歳迄,男女可,不可,不可,不可,不可,4L迄,皆さんもよく目にする生活用品や冬用プラスチック製品を作る工場でのお仕事です。  ●組立作業・・・バラバラになった製品（ボックス等）を段ボールに梱包するために１つに組立てて頂く作業になります。とっても簡カンタンな作業で1週間でできるようになります。 ●バリ取り作業・・・カッターを使用して角のバリを取って頂きます。こちらもカンタンな作業で1週間でできるようになります。（カッターの使用教育有り） どれもカンタンな作業なので、どなたでも２週間程度で覚えることができます！！,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 三条市
os300,OS,,新潟,(採)さいたま,11423-01,三和エクステリア,派遣,0名,金属製サッシ・ドア製造業 溶接組立作業、製造設備のオペレーション,新潟県燕市笈ケ島1397－1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・1ヶ月( 1,200円／時) 【就業場所における受動喫煙対策】 ・全面禁煙",08:30～17:15　休憩60分,土日祝,"1,200円/時",23万円程度,勤務/20日 残業/20h 深夜/0h 休出/8h,270万円程度,日勤, 分水駅,車 バイク 自転車,上限3万円迄/月,-,寮対応無,経験者のみ60歳迄,男性のみ,不可,不可,不可,不可,5L迄,・半自動溶接機を使用した溶接作業 ・グラインダーでバリ取り ・特殊な工具を使うので製造経験必須,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,新潟県 燕市
os301,OS,,新潟,(採)さいたま,11898-01,熊谷,派遣,0,?品包装パッケージの製造,新潟県新潟市 ?蒲区和納2126番地,"【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～17:15　休憩45分,土日,"1,100円/時",19万円程度,勤務/20日　残業/10H 深夜/0H 休出/0H,228万円程度,日勤,岩室駅,車,上限3万円迄/月,-,寮対応無,40歳迄,女性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,5L迄,・ネイルやつけまつげなど、落下する可能性があるものはNGのため、基本的にはノーメイクで就業になります。 ・一人での作業が中心になりますが、基本的なコミュニケーション能力は必要です。 ・クリーンルームでの作業です。業務内容としては、完成品の耐久検査になります。作業自体は一ヶ月以内には習得できるものになっております。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,不明
os302,OS,,新潟,(採)さいたま,11155-01,MKNアルミニウム,派遣,0名,?属材料加?業,新潟県上越市 福?町１上越テクノセンター内,"【必須資格】 ・フォークリフト 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,500円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:25～16:30　休憩60分 ②16:25～00:30　休憩60分 ③00:25～08:30　休憩60分,4勤1休 ※早番4勤1休→中番4勤2休→夜勤4勤1休,"1,500円/時",26万円程度,勤務/21日　残業/15H 深夜/36.5H 休出/0H,312万円程度,3交替,直江津駅,車,上限3万円迄/月,-,寮対応無,未経験40歳迄（経験あり40前半迄）,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・大きなアルミの積み込みなど、基本的にはフォークリフト業務になるため、フォークリフトの資格が必須になります。 ・30代の方であればフォークリフトの免許なくてもご紹介可能になります。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,不明
